"student_number","academic_year","school_name","region","grade_level_id","enrollment_status","graduate","took_test","exam_name","ap_result","admin_year","ib_school","ap_group","passed","cum_passed","subject","tcp_course_code","grade"
108021446,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"English Language and Composition",2,13,TRUE,"English",FALSE,2,"English",NA,NA
108021446,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"Studio Art: 2-D Design Portfolio",2,13,TRUE,"Other",FALSE,2,"Art",NA,NA
108021446,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"World History",1,13,TRUE,"Humanities",FALSE,2,NA,NA,NA
108021461,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"Biology",1,13,TRUE,"Science",FALSE,1,"Biology",NA,NA
108021461,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"English Language and Composition",1,13,TRUE,"English",FALSE,1,"English",NA,NA
108021461,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"Studio Art: 2-D Design Portfolio",2,13,TRUE,"Other",FALSE,1,"Art",NA,NA
108021461,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"World History",2,13,TRUE,"Humanities",FALSE,1,NA,NA,NA
108021496,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"Biology",1,13,TRUE,"Science",FALSE,2,"Biology",NA,NA
108021496,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"English Language and Composition",1,13,TRUE,"English",FALSE,2,"English",NA,NA
108021496,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"Studio Art: 2-D Design Portfolio",2,13,TRUE,"Other",FALSE,2,"Art",NA,NA
108021496,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"World History",2,13,TRUE,"Humanities",FALSE,2,NA,NA,NA
108021595,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108021595,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",1,13,TRUE,"Other",FALSE,0,NA,NA,NA
108021595,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Spanish Language and Culture",3,13,TRUE,"Spanish",TRUE,1,"Spanish",NA,NA
108021595,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",1,13,TRUE,"Humanities",FALSE,1,NA,NA,NA
108021613,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"World History",1,13,TRUE,"Humanities",FALSE,0,NA,NA,NA
108021621,"2021-2022","Donna","Rio Grande Valley",11,0,FALSE,1,"Microeconomics",1,13,TRUE,"Humanities",FALSE,0,NA,NA,NA
108021621,"2021-2022","Donna","Rio Grande Valley",11,0,FALSE,1,"United States Government and Politics",1,13,TRUE,"Humanities",FALSE,0,NA,NA,NA
108021720,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"Biology",2,13,TRUE,"Science",FALSE,3,"Biology",NA,NA
108021720,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"English Language and Composition",2,13,TRUE,"English",FALSE,3,"English",NA,NA
108021720,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"World History",2,13,TRUE,"Humanities",FALSE,3,NA,NA,NA
108022027,"2021-2022","Frontier","Rio Grande Valley",11,0,FALSE,1,"Biology",1,13,TRUE,"Science",FALSE,1,"Biology",NA,NA
108022027,"2021-2022","Frontier","Rio Grande Valley",11,0,FALSE,1,"English Literature and Composition",3,13,TRUE,"English",TRUE,2,"English",NA,NA
108022027,"2021-2022","Frontier","Rio Grande Valley",11,0,FALSE,1,"United States History",2,13,TRUE,"Humanities",FALSE,2,"History",NA,NA
108022042,"2021-2022","Brownsville","Rio Grande Valley",10,0,FALSE,1,"Spanish Language and Culture",1,13,TRUE,"Spanish",FALSE,0,"Spanish",NA,NA
108022042,"2021-2022","Brownsville","Rio Grande Valley",10,0,FALSE,1,"United States Government and Politics",1,13,TRUE,"Humanities",FALSE,0,NA,NA,NA
108022042,"2021-2022","Brownsville","Rio Grande Valley",10,0,FALSE,1,"United States History",1,13,TRUE,"Humanities",FALSE,0,"History",NA,NA
108022161,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"Biology",3,13,TRUE,"Science",TRUE,7,"Biology",NA,NA
108022161,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"English Language and Composition",4,13,TRUE,"English",TRUE,8,"English",NA,NA
108022161,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"Studio Art: 2-D Design Portfolio",3,13,TRUE,"Other",TRUE,9,"Art",NA,NA
108022161,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"World History",3,13,TRUE,"Humanities",TRUE,10,NA,NA,NA
108022515,"2021-2022","Frontier","Rio Grande Valley",11,0,FALSE,1,"Biology",1,13,TRUE,"Science",FALSE,4,"Biology",NA,NA
108022515,"2021-2022","Frontier","Rio Grande Valley",11,0,FALSE,1,"English Literature and Composition",4,13,TRUE,"English",TRUE,5,"English",NA,NA
108022515,"2021-2022","Frontier","Rio Grande Valley",11,0,FALSE,1,"United States History",3,13,TRUE,"Humanities",TRUE,6,"History",NA,NA
108022652,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"Biology",2,13,TRUE,"Science",FALSE,3,"Biology",NA,NA
108022652,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"English Language and Composition",2,13,TRUE,"English",FALSE,3,"English",NA,NA
108022652,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"World History",3,13,TRUE,"Humanities",TRUE,4,NA,NA,NA
108022885,"2021-2022","Frontier","Rio Grande Valley",11,0,FALSE,1,"Biology",1,13,TRUE,"Science",FALSE,5,"Biology",NA,NA
108022885,"2021-2022","Frontier","Rio Grande Valley",11,0,FALSE,1,"English Literature and Composition",3,13,TRUE,"English",TRUE,6,"English",NA,NA
108022885,"2021-2022","Frontier","Rio Grande Valley",11,0,FALSE,1,"United States History",2,13,TRUE,"Humanities",FALSE,6,"History",NA,NA
108023244,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"Biology",1,13,TRUE,"Science",FALSE,1,"Biology",NA,NA
108023244,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"English Language and Composition",2,13,TRUE,"English",FALSE,1,"English",NA,NA
108023244,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"Studio Art: 2-D Design Portfolio",3,13,TRUE,"Other",TRUE,2,"Art",NA,NA
108023244,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"World History",2,13,TRUE,"Humanities",FALSE,2,NA,NA,NA
108023422,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023422,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"Computer Science Principles",2,13,TRUE,"Other",FALSE,0,NA,NA,NA
108023422,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"Spanish Language and Culture",3,13,TRUE,"Spanish",TRUE,1,"Spanish",NA,NA
108023422,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"World History",1,13,TRUE,"Humanities",FALSE,1,NA,NA,NA
108023432,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023432,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"Computer Science Principles",1,13,TRUE,"Other",FALSE,0,NA,NA,NA
108023432,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"Spanish Language and Culture",3,13,TRUE,"Spanish",TRUE,1,"Spanish",NA,NA
108023432,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"World History",2,13,TRUE,"Humanities",FALSE,1,NA,NA,NA
108023436,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023436,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"Computer Science Principles",3,13,TRUE,"Other",TRUE,1,NA,NA,NA
108023436,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"Spanish Language and Culture",5,13,TRUE,"Spanish",TRUE,2,"Spanish",NA,NA
108023436,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"World History",3,13,TRUE,"Humanities",TRUE,3,NA,NA,NA
108023440,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Art History",2,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023440,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",4,13,TRUE,"Other",TRUE,1,NA,NA,NA
108023440,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Physics 1",1,13,TRUE,"Science",FALSE,1,NA,NA,NA
108023440,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",3,13,TRUE,"Humanities",TRUE,2,NA,NA,NA
108023444,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023444,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",2,13,TRUE,"Other",FALSE,0,NA,NA,NA
108023444,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Spanish Language and Culture",3,13,TRUE,"Spanish",TRUE,1,"Spanish",NA,NA
108023444,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",1,13,TRUE,"Humanities",FALSE,1,NA,NA,NA
108023445,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023445,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"Computer Science Principles",1,13,TRUE,"Other",FALSE,0,NA,NA,NA
108023445,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"Spanish Language and Culture",2,13,TRUE,"Spanish",FALSE,0,"Spanish",NA,NA
108023445,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"World History",1,13,TRUE,"Humanities",FALSE,0,NA,NA,NA
108023453,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023453,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",2,13,TRUE,"Other",FALSE,0,NA,NA,NA
108023453,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",1,13,TRUE,"Humanities",FALSE,0,NA,NA,NA
108023454,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023454,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",2,13,TRUE,"Other",FALSE,0,NA,NA,NA
108023454,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",1,13,TRUE,"Humanities",FALSE,0,NA,NA,NA
108023455,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023455,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",1,13,TRUE,"Other",FALSE,0,NA,NA,NA
108023455,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",1,13,TRUE,"Humanities",FALSE,0,NA,NA,NA
108023456,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"Biology",4,13,TRUE,"Science",TRUE,6,"Biology",NA,NA
108023456,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"World History",4,13,TRUE,"Humanities",TRUE,7,NA,NA,NA
108023459,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023459,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",4,13,TRUE,"Other",TRUE,1,NA,NA,NA
108023459,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Physics 1",1,13,TRUE,"Science",FALSE,1,NA,NA,NA
108023459,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",2,13,TRUE,"Humanities",FALSE,1,NA,NA,NA
108023463,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023463,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",3,13,TRUE,"Other",TRUE,1,NA,NA,NA
108023463,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Physics 1",1,13,TRUE,"Science",FALSE,1,NA,NA,NA
108023463,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Spanish Language and Culture",3,13,TRUE,"Spanish",TRUE,2,"Spanish",NA,NA
108023463,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",2,13,TRUE,"Humanities",FALSE,2,NA,NA,NA
108023465,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023465,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",3,13,TRUE,"Other",TRUE,1,NA,NA,NA
108023465,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Physics 1",1,13,TRUE,"Science",FALSE,1,NA,NA,NA
108023465,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",1,13,TRUE,"Humanities",FALSE,1,NA,NA,NA
108023470,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023470,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",3,13,TRUE,"Other",TRUE,1,NA,NA,NA
108023470,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Spanish Language and Culture",5,13,TRUE,"Spanish",TRUE,2,"Spanish",NA,NA
108023470,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",2,13,TRUE,"Humanities",FALSE,2,NA,NA,NA
108023473,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023473,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"Computer Science Principles",2,13,TRUE,"Other",FALSE,0,NA,NA,NA
108023473,"2021-2022","Donna","Rio Grande Valley",10,2,FALSE,1,"World History",1,13,TRUE,"Humanities",FALSE,0,NA,NA,NA
108023479,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023479,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",3,13,TRUE,"Other",TRUE,1,NA,NA,NA
108023479,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Physics 1",1,13,TRUE,"Science",FALSE,1,NA,NA,NA
108023479,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Spanish Language and Culture",2,13,TRUE,"Spanish",FALSE,1,"Spanish",NA,NA
108023479,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",2,13,TRUE,"Humanities",FALSE,1,NA,NA,NA
108023480,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023480,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",3,13,TRUE,"Other",TRUE,1,NA,NA,NA
108023480,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Physics 1",1,13,TRUE,"Science",FALSE,1,NA,NA,NA
108023480,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",2,13,TRUE,"Humanities",FALSE,1,NA,NA,NA
108023481,"2021-2022","McAllen","Rio Grande Valley",10,0,FALSE,1,"English Language and Composition",1,13,TRUE,"English",FALSE,0,"English",NA,NA
108023481,"2021-2022","McAllen","Rio Grande Valley",10,0,FALSE,1,"Microeconomics",1,13,TRUE,"Humanities",FALSE,0,NA,NA,NA
108023481,"2021-2022","McAllen","Rio Grande Valley",10,0,FALSE,1,"Physics 1",1,13,TRUE,"Science",FALSE,0,NA,NA,NA
108023481,"2021-2022","McAllen","Rio Grande Valley",10,0,FALSE,1,"United States Government and Politics",1,13,TRUE,"Humanities",FALSE,0,NA,NA,NA
108023481,"2021-2022","McAllen","Rio Grande Valley",10,0,FALSE,1,"United States History",1,13,TRUE,"Humanities",FALSE,0,"History",NA,NA
108023486,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Art History",2,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023486,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",3,13,TRUE,"Other",TRUE,1,NA,NA,NA
108023486,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Physics 1",1,13,TRUE,"Science",FALSE,1,NA,NA,NA
108023486,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",2,13,TRUE,"Humanities",FALSE,1,NA,NA,NA
108023493,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",1,13,TRUE,"Other",FALSE,0,NA,NA,NA
108023493,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",1,13,TRUE,"Humanities",FALSE,0,NA,NA,NA
108023496,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023496,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",2,13,TRUE,"Other",FALSE,0,NA,NA,NA
108023496,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Spanish Language and Culture",5,13,TRUE,"Spanish",TRUE,1,"Spanish",NA,NA
108023496,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",1,13,TRUE,"Humanities",FALSE,1,NA,NA,NA
108023500,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023500,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",3,13,TRUE,"Other",TRUE,1,NA,NA,NA
108023500,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Spanish Language and Culture",2,13,TRUE,"Spanish",FALSE,1,"Spanish",NA,NA
108023500,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",3,13,TRUE,"Humanities",TRUE,2,NA,NA,NA
108023503,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",3,13,TRUE,"Other",TRUE,1,NA,NA,NA
108023503,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",3,13,TRUE,"Humanities",TRUE,2,NA,NA,NA
108023506,"2021-2022","McAllen","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",4,13,TRUE,"Other",TRUE,3,NA,NA,NA
108023506,"2021-2022","McAllen","Rio Grande Valley",10,0,FALSE,1,"English Language and Composition",5,13,TRUE,"English",TRUE,4,"English",NA,NA
108023506,"2021-2022","McAllen","Rio Grande Valley",10,0,FALSE,1,"Physics 1",2,13,TRUE,"Science",FALSE,4,NA,NA,NA
108023506,"2021-2022","McAllen","Rio Grande Valley",10,0,FALSE,1,"Spanish Language and Culture",5,13,TRUE,"Spanish",TRUE,5,"Spanish",NA,NA
108023506,"2021-2022","McAllen","Rio Grande Valley",10,0,FALSE,1,"United States History",4,13,TRUE,"Humanities",TRUE,6,"History",NA,NA
108023506,"2021-2022","McAllen","Rio Grande Valley",10,0,FALSE,1,"World History",5,13,TRUE,"Humanities",TRUE,7,NA,NA,NA
108023577,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023577,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",1,13,TRUE,"Other",FALSE,0,NA,NA,NA
108023577,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Spanish Language and Culture",3,13,TRUE,"Spanish",TRUE,1,"Spanish",NA,NA
108023577,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",1,13,TRUE,"Humanities",FALSE,1,NA,NA,NA
108023588,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Art History",1,13,TRUE,"Other",FALSE,0,"Art",NA,NA
108023588,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",3,13,TRUE,"Other",TRUE,1,NA,NA,NA
108023588,"2021-2022","Donna","Rio Grande Valley",10,0,FALSE,1,"World History",2,13,TRUE,"Humanities",FALSE,1,NA,NA,NA
108023618,"2021-2022","McAllen","Rio Grande Valley",10,0,FALSE,1,"Computer Science Principles",2,13,TRUE,"Other",FALSE,2,NA,NA,NA
108023618,"2021-2022","McAllen","Rio Grande Valley",10,0,FALSE,1,"English Language and Composition",3,13,TRUE,"English",TRUE,3,"English",NA,NA
